,평균기온:평균,평균기온:표준편차,최고기온,최저기온
1월 1일,-1.9,3.7,2.1,-5.4
1월 2일,-1.9,4.6,2.1,-5.5
1월 3일,-1.9,4.6,2.2,-5.4
1월 4일,-1.8,4.4,2.2,-5.3
1월 5일,-1.9,4.5,2.2,-5.5
1월 6일,-2,4.5,2.1,-5.5
1월 7일,-1.9,4.2,2,-5.4
1월 8일,-2,4.1,2,-5.4
1월 9일,-2.1,3.9,1.8,-5.5
1월 10일,-2.2,3.5,1.7,-5.7
1월 11일,-2.3,3.7,1.6,-5.7
1월 12일,-2.3,4.4,1.6,-5.7
1월 13일,-2.2,4.6,1.7,-5.7
1월 14일,-2.1,4.7,1.9,-5.6
1월 15일,-1.9,4.9,2.1,-5.3
1월 16일,-1.8,4.6,2.2,-5.3
1월 17일,-1.6,3.6,2.4,-5.2
1월 18일,-1.5,3.3,2.5,-5
1월 19일,-1.6,4.4,2.3,-5.2
1월 20일,-1.8,4.2,2.2,-5.3
1월 21일,-2,4.4,2,-5.5
1월 22일,-2.3,4.4,1.7,-5.8
1월 23일,-2.5,4.9,1.4,-6.1
1월 24일,-2.5,5.3,1.5,-6.1
1월 25일,-2.5,4.9,1.6,-6.1
1월 26일,-2.3,4.4,1.9,-6
1월 27일,-1.9,3.6,2.2,-5.7
1월 28일,-1.7,3.4,2.5,-5.5
1월 29일,-1.6,4,2.6,-5.3
1월 30일,-1.6,4.3,2.6,-5.3
1월 31일,-1.7,3.9,2.5,-5.4
2월 1일,-1.8,4.6,2.5,-5.5
2월 2일,-1.8,4,2.6,-5.4
2월 3일,-1.7,4,2.7,-5.4
2월 4일,-1.3,3.4,3,-5
2월 5일,-1,3.9,3.4,-4.8
2월 6일,-0.9,4.3,3.4,-4.6
2월 7일,-0.9,4.1,3.4,-4.7
2월 8일,-0.8,4.6,3.5,-4.5
2월 9일,-0.8,3.7,3.6,-4.6
2월 10일,-0.6,3.5,3.5,-4.3
2월 11일,-0.1,3.7,4.1,-3.9
2월 12일,0.4,4.3,4.7,-3.4
2월 13일,0.7,4.2,5,-3.1
2월 14일,0.7,2.9,5.1,-3
2월 15일,0.8,3.6,5.2,-3.1
2월 16일,0.7,3.6,5.1,-3.1
2월 17일,0.7,3.8,5.1,-3.2
2월 18일,0.8,3.2,5.4,-3.2
2월 19일,1.1,3.4,5.7,-2.8
2월 20일,1.6,4.2,6.2,-2.5
2월 21일,1.8,4,6.4,-2.3
2월 22일,2,3.6,6.7,-2.1
2월 23일,2.3,4,6.9,-1.7
2월 24일,2.7,4.3,7.4,-1.4
2월 25일,3,3.7,7.7,-1.1
2월 26일,3.4,3.5,8.1,-0.7
2월 27일,3.5,3.4,8.2,-0.4
2월 28일,3.5,3.1,8.1,-0.5
2월 29일,3.6,3.3,8.2,-0.4
3월 1일,3.6,3.5,8.2,-0.4
3월 2일,3.7,2.9,8.3,-0.3
3월 3일,3.8,3.3,8.4,-0.1
3월 4일,4,4,8.5,0
3월 5일,4.1,3.2,8.7,0.2
3월 6일,4.2,3.3,8.7,0.3
3월 7일,4.3,3.5,8.9,0.2
3월 8일,4.2,3.1,8.8,0.2
3월 9일,4.3,3.8,8.9,0.2
3월 10일,4.5,3.6,9.3,0.2
3월 11일,4.8,3,9.6,0.5
3월 12일,5,3.9,9.7,0.7
3월 13일,5.4,3.8,10.3,1
3월 14일,5.9,3.5,10.8,1.5
3월 15일,6.2,2.8,11.3,1.8
3월 16일,6.6,3,11.7,2.3
3월 17일,7,3.3,12.1,2.6
3월 18일,7.2,3.7,12.4,2.8
3월 19일,7.4,2.9,12.6,2.9
3월 20일,7.5,3.2,12.7,3.1
3월 21일,7.4,3.6,12.5,3
3월 22일,7.2,3.3,12.2,2.9
3월 23일,7,2.4,11.9,2.9
3월 24일,7.1,2.9,12,2.9
3월 25일,7.3,3.2,12.3,3.1
3월 26일,7.6,3.3,12.6,3.4
3월 27일,8,3,13.1,3.7
3월 28일,8.4,3.3,13.5,4
3월 29일,8.6,3.4,13.7,4.3
3월 30일,8.8,3.1,13.9,4.5
3월 31일,9,3.5,14.1,4.7
4월 1일,9.3,3.5,14.4,4.9
4월 2일,9.6,3.8,14.8,5.1
