사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20221201,수인선,연수,4695,4594,20221204
20221201,수인선,송도,2482,2346,20221204
20221201,수인선,인하대,7437,7016,20221204
20221201,수인선,숭의,3987,3802,20221204
20221201,수인선,신포,1771,1833,20221204
20221201,수인선,인천,912,1463,20221204
20221201,신림선,샛강,2714,3373,20221204
20221201,신림선,대방,2419,1885,20221204
20221201,신림선,서울지방병무청,2620,2859,20221204
20221201,신림선,보라매,3536,3178,20221204
20221201,신림선,보라매공원,1889,2020,20221204
20221201,신림선,보라매병원,7242,7608,20221204
20221201,신림선,당곡,4200,4143,20221204
20221201,신림선,신림,1640,2338,20221204
20221201,신림선,서원,3314,2846,20221204
20221201,신림선,서울대벤처타운,7684,7628,20221204
20221201,신림선,관악산(서울대),2187,2234,20221204
20221201,안산선,산본,15843,16917,20221204
20221201,안산선,대야미,4886,4347,20221204
20221201,안산선,반월,4275,4177,20221204
20221201,안산선,상록수,16383,16887,20221204
20221201,안산선,한대앞,10437,10466,20221204
20221201,안산선,중앙,17966,19134,20221204
20221201,안산선,고잔,9348,8758,20221204
20221201,안산선,초지,5403,5695,20221204
20221201,안산선,안산,11336,10354,20221204
20221201,안산선,신길온천,1836,1729,20221204
20221201,안산선,정왕,9930,10197,20221204
20221201,안산선,오이도,8269,8320,20221204
20221201,안산선,수리산,4285,3471,20221204
20221201,일산선,원당,11112,10513,20221204
20221201,일산선,화정,16707,17140,20221204
20221201,일산선,대곡,2138,1652,20221204
20221201,일산선,백석,9632,9708,20221204
20221201,일산선,마두,7611,7753,20221204
20221201,일산선,정발산,6501,6575,20221204
20221201,일산선,주엽,9230,9409,20221204
20221201,일산선,대화,13410,10378,20221204
20221201,장항선,봉명,1225,1210,20221204
20221201,장항선,쌍용(나사렛대),2895,2684,20221204
20221201,장항선,아산,3782,3337,20221204
20221201,장항선,탕정,1161,952,20221204
20221201,장항선,배방,1004,1043,20221204
20221201,장항선,온양온천,3559,3662,20221204
20221201,장항선,신창(순천향대),2990,2488,20221204
20221201,중앙선,회기,28576,27524,20221204
20221201,중앙선,중랑,5522,5128,20221204
20221201,중앙선,상봉(시외버스터미널),5591,5771,20221204
20221201,중앙선,망우,7519,7343,20221204
20221201,중앙선,양원,3031,2924,20221204
20221201,중앙선,구리,13260,13467,20221204
20221201,중앙선,도농,11834,10591,20221204
20221201,중앙선,양정,633,508,20221204
20221201,중앙선,덕소,5491,5483,20221204
20221201,중앙선,도심,2460,1859,20221204
20221201,중앙선,팔당,656,718,20221204
20221201,중앙선,운길산,531,482,20221204
20221201,중앙선,양수,1553,1615,20221204
