"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20240901","2호선","한양대","3196","3787","20240904",""
"20240901","2호선","왕십리(성동구청)","9810","9629","20240904",""
"20240901","2호선","상왕십리","7829","7960","20240904",""
"20240901","2호선","신당","9347","9929","20240904",""
"20240901","2호선","동대문역사문화공원(DDP)","11351","13649","20240904",""
"20240901","2호선","을지로4가","5973","6010","20240904",""
"20240901","2호선","을지로3가","12188","11888","20240904",""
"20240901","2호선","을지로입구","26351","25546","20240904",""
"20240901","2호선","시청","8911","6964","20240904",""
"20240901","1호선","동묘앞","13143","13319","20240904",""
"20240901","1호선","청량리(서울시립대입구)","16405","15969","20240904",""
"20240901","1호선","제기동","11401","12367","20240904",""
"20240901","1호선","신설동","8678","8855","20240904",""
"20240901","1호선","동대문","10685","11604","20240904",""
"20240901","1호선","종로5가","11158","10782","20240904",""
"20240901","1호선","종로3가","15793","13943","20240904",""
"20240901","1호선","종각","14887","13714","20240904",""
"20240901","1호선","시청","10772","10102","20240904",""
"20240901","7호선","청담","7202","7618","20240904",""
"20240901","2호선","뚝섬","13784","13082","20240904",""
"20240901","2호선","성수","25427","28776","20240904",""
"20240901","2호선","건대입구","26567","27596","20240904",""
"20240901","2호선","구의(광진구청)","13068","13091","20240904",""
"20240901","2호선","강변(동서울터미널)","22428","20597","20240904",""
"20240901","2호선","잠실나루","5973","5981","20240904",""
"20240901","2호선","잠실(송파구청)","55169","51106","20240904",""
"20240901","2호선","잠실새내","14825","14125","20240904",""
"20240901","2호선","종합운동장","19731","22916","20240904",""
"20240901","2호선","삼성(무역센터)","25830","24477","20240904",""
"20240901","2호선","선릉","16436","14230","20240904",""
"20240901","2호선","역삼","12691","13815","20240904",""
"20240901","2호선","강남","34672","33482","20240904",""
"20240901","2호선","교대(법원.검찰청)","10911","13126","20240904",""
"20240901","2호선","서초","15128","14674","20240904",""
"20240901","2호선","방배","7657","7861","20240904",""
"20240901","2호선","사당","25686","27239","20240904",""
"20240901","2호선","낙성대(강감찬)","17839","18363","20240904",""
"20240901","2호선","서울대입구(관악구청)","27481","28117","20240904",""
"20240901","2호선","봉천","13535","13080","20240904",""
"20240901","2호선","신림","35504","35286","20240904",""
"20240901","2호선","신대방","16664","16034","20240904",""
"20240901","2호선","구로디지털단지","27355","26532","20240904",""
"20240901","2호선","대림(구로구청)","16672","16874","20240904",""
"20240901","2호선","신도림","33297","33471","20240904",""
"20240901","2호선","문래","9706","10384","20240904",""
"20240901","2호선","영등포구청","10064","10454","20240904",""
"20240901","2호선","당산","9552","9842","20240904",""
"20240901","2호선","합정","24305","25178","20240904",""
"20240901","2호선","홍대입구","65922","67124","20240904",""
"20240901","2호선","신촌","26025","26323","20240904",""
"20240901","2호선","이대","9076","10463","20240904",""
"20240901","2호선","아현","6078","5963","20240904",""
"20240901","2호선","충정로(경기대입구)","4635","5028","20240904",""
"20240901","2호선","용답","1955","1956","20240904",""
"20240901","2호선","신답","829","912","20240904",""
"20240901","2호선","신설동","3377","3363","20240904",""
"20240901","2호선","도림천","571","600","20240904",""
"20240901","2호선","양천구청","3518","3623","20240904",""
"20240901","2호선","신정네거리","5425","5566","20240904",""
"20240901","2호선","용두(동대문구청)","1650","1646","20240904",""
"20240901","3호선","지축","4222","4114","20240904",""
"20240901","3호선","구파발","13907","13623","20240904",""
"20240901","3호선","연신내","21262","20357","20240904",""
"20240901","3호선","불광","10322","11676","20240904",""
"20240901","3호선","녹번","7841","7300","20240904",""
"20240901","3호선","홍제","10376","10062","20240904",""
"20240901","3호선","무악재","2325","2432","20240904",""
"20240901","3호선","독립문","4952","5341","20240904",""
"20240901","3호선","경복궁(정부서울청사)","13573","14392","20240904",""
"20240901","3호선","안국","14696","15511","20240904",""
"20240901","3호선","종로3가","5762","6547","20240904",""
"20240901","3호선","을지로3가","5371","4908","20240904",""
"20240901","3호선","충무로","4","0","20240904",""
"20240901","3호선","동대입구","9798","10446","20240904",""
"20240901","3호선","약수","7754","7380","20240904",""
"20240901","3호선","금호","4530","4345","20240904",""
"20240901","3호선","옥수","5350","5524","20240904",""
"20240901","3호선","압구정","15390","15943","20240904",""
"20240901","3호선","신사","13219","13336","20240904",""
"20240901","3호선","잠원","2506","2420","20240904",""
"20240901","3호선","고속터미널","50157","45297","20240904",""
