"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20241210","우이신설선","4.19민주묘지","4465","4232","20241213"
"20241210","경원선","가능","6725","6270","20241213"
"20241210","8호선","가락시장","10241","11330","20241213"
"20241210","3호선","가락시장","10724","10452","20241213"
"20241210","7호선","가산디지털단지","51670","52116","20241213"
"20241210","경부선","가산디지털단지","20526","22919","20241213"
"20241210","9호선","가양","25392","25071","20241213"
"20241210","우이신설선","가오리","4566","4548","20241213"
"20241210","경의선","가좌","5713","5279","20241213"
"20241210","분당선","가천대","12505","12735","20241213"
"20241210","경춘선","가평","1646","1616","20241213"
"20241210","경인선","간석","5934","5783","20241213"
"20241210","경춘선","갈매","2612","2291","20241213"
"20241210","2호선","강남","88859","86178","20241213"
"20241210","7호선","강남구청","19412","21213","20241213"
"20241210","분당선","강남구청","10390","11962","20241213"
"20241210","5호선","강동","20916","20285","20241213"
"20241210","8호선","강동구청","12420","12834","20241213"
"20241210","경의선","강매","3268","2758","20241213"
"20241210","2호선","강변(동서울터미널)","28693","26175","20241213"
"20241210","5호선","강일","7159","6719","20241213"
"20241210","경춘선","강촌","478","486","20241213"
"20241210","5호선","개롱","7517","7760","20241213"
"20241210","경인선","개봉","21495","22111","20241213"
"20241210","분당선","개포동","4676","4869","20241213"
"20241210","9호선","개화","3128","2094","20241213"
"20241210","5호선","개화산","6863","6470","20241213"
"20241210","5호선","거여","11832","11589","20241213"
"20241210","2호선","건대입구","36848","38608","20241213"
"20241210","7호선","건대입구","15468","15761","20241213"
"20241210","공항철도 1호선","검암","6944","7047","20241213"
"20241210","경강선","경기광주","8029","7378","20241213"
"20241210","과천선","경마공원","1551","1588","20241213"
"20241210","3호선","경복궁(정부서울청사)","24385","24301","20241213"
"20241210","3호선","경찰병원","8645","8661","20241213"
"20241210","공항철도 1호선","계양","14691","13988","20241213"
"20241210","5호선","고덕","12595","12009","20241213"
"20241210","6호선","고려대(종암)","10572","10307","20241213"
"20241210","수인선","고색","5926","6120","20241213"
"20241210","9호선","고속터미널","15442","20158","20241213"
"20241210","7호선","고속터미널","17987","15808","20241213"
"20241210","3호선","고속터미널","47381","44430","20241213"
"20241210","안산선","고잔","9963","9439","20241213"
"20241210","경의선","곡산","643","690","20241213"
"20241210","경강선","곤지암","2313","2180","20241213"
"20241210","공항철도 1호선","공덕","3298","4324","20241213"
"20241210","경의선","공덕","4120","3479","20241213"
"20241210","6호선","공덕","22612","21893","20241213"
"20241210","5호선","공덕","17107","18088","20241213"
"20241210","7호선","공릉(서울과학기술대)","13774","13776","20241213"
