Date,평균기온,최저기온,최고기온,강수계속시간,10분최다강수량,1시간최다강수량,일강수량,최대순간풍속,최대풍속,평균풍속,풍정합,평균상대습도,합계일조시간,1시간최다일사량,합계일사량,일최심신적설,일최심적설,합계3시간신적설,안개계속시간
2020.1.1,-2.2,-6.5,0.3,9.83,,,0.1,4.8,2.6,0.6,509,64.4,0.8,1,4.53,0,0,0,
2020.1.2,1,-0.7,3.8,,,,,6.7,4,1.2,996,65.4,0,0.67,3.47,,,,
2020.1.3,-0.1,-3.4,4.6,,,,,5.8,3.5,1.7,1508,56.9,8.8,1.7,10.1,,,,
2020.1.4,1.2,-2.8,6.1,,,,,8.5,4.5,1.9,1623,50.8,7.9,1.68,9.29,,,,
2020.1.5,1.3,-3.2,6.6,,,,,4.4,2.9,1.1,985,45.6,7.1,1.66,9.1,,,,
2020.1.6,3.1,0.6,4.6,14.33,,,1.8,8.8,5.4,3.1,2705,65.4,0,0.64,2.03,,,,
2020.1.7,6.3,4.2,7.7,24,,,46.3,9.5,6.3,4,3413,95,0,0.17,0.75,,,,
2020.1.8,2.4,-0.4,8.9,9.5,,,11.6,11.8,6.3,3.3,2875,86.1,0,0.31,1.84,,,,
2020.1.9,-1.2,-3.1,2,,,,,7.2,4.3,2.3,1971,65.3,8.7,1.75,9.14,,,,
2020.1.10,-0.6,-4.3,4.2,,,,,5.5,3.7,1.5,1300,62.9,7.5,1.66,9.39,,,,
2020.1.11,-0.1,-2.6,3.9,,,,,7,4.8,1.9,1619,60.9,8.1,1.84,10.13,,,,
2020.1.12,-1,-3.5,2.8,,,,,6.8,4.1,2.4,2031,61.5,8.6,1.83,10.33,,,,
2020.1.13,-2.9,-4.7,0.2,,,,,8.3,4.9,2.3,1992,51,8.1,1.92,11.15,,,,
2020.1.14,-2.3,-5.7,2.6,,,,,5.5,3.3,1.6,1387,45.3,8.5,1.78,10.06,,,,
2020.1.15,-2.7,-6.4,2.2,,,,,8,4.5,1.9,1673,44.8,9.2,1.94,11.6,,,,
2020.1.16,-1.7,-5.5,3.2,,,,,6.9,4.4,1.6,1417,43,8.3,1.89,10.75,,,,
2020.1.17,-0.6,-4.8,4.9,,,,,6.7,3.8,1.5,1311,43.9,7.6,1.73,9.85,,,,
2020.1.18,0.3,-4.1,5.9,,,,,6.8,4.2,1.8,1569,48.1,9.1,1.9,11.38,,,,
2020.1.19,1.9,-0.4,5.3,1.58,,,0.6,10.9,6.1,2.2,1862,62.8,4.8,1.37,6.08,0.3,0.3,0.3,
2020.1.20,0.7,-3.3,5.5,,,,,10.4,5.7,2.5,2202,46.8,8.7,1.92,10.24,,,,
2020.1.21,-0.4,-5.6,5.5,,,,,5.6,3.5,1.4,1209,36.9,9.2,1.92,11.55,,,,
2020.1.22,3,-0.1,7.8,,,,,6.3,3.2,1.7,1479,36,3.7,1.54,6.8,,,,
2020.1.23,4.6,0,9.9,,,,,6.9,4.7,2,1701,49.3,8.8,1.83,10.73,,,,
2020.1.24,2.8,-1.3,7.4,,,,,6.4,3.7,1.7,1508,63,8.8,1.87,10.53,,,,
2020.1.25,4.3,0.6,8.8,,,,,6.8,3.9,1.5,1309,63.1,3.6,1.56,7.86,,,,
2020.1.26,5.5,-0.2,11.9,,,,,11.1,6.1,2.7,2342,56.3,7.3,1.97,11.21,,,,
2020.1.27,5.9,4.8,7.5,6.92,,,0.1,13.7,7,4.6,3987,48.1,0,0.51,2.76,,,,
2020.1.28,6.8,4.3,9.9,2.67,,,0,8.8,5.4,2.6,2263,49.4,0,0.75,3.98,,,,
2020.1.29,6,3.2,9.6,,,,,5.8,3.6,2.1,1837,46.4,3.1,1.24,7.3,,,,
2020.1.30,5.2,1.4,10.4,,,,,5.7,3,1.8,1513,47,5.5,2.26,9.24,,,,
2020.1.31,3.9,1.4,8.9,0.17,,,0,8.1,4.4,2.3,2022,59.6,6.1,1.89,9.41,,,,
2020.2.1,2.6,-1.2,7.6,,,,,7.7,4.7,1.7,1505,66.6,5.3,1.17,7.17,,,,
2020.2.2,1.5,-2.1,5.3,,,,,7.3,4.7,1.8,1564,52.3,4.8,1.42,8.39,,,,
2020.2.3,-0.4,-2.9,3,3.08,,,0,9,5.7,3.1,2705,43.6,9.6,2.22,13.56,,,,
2020.2.4,-1.6,-6,3.9,7.25,,,1.7,10.8,6.2,2.8,2376,50.3,6.4,1.93,10.01,0.8,0.8,0.8,
2020.2.5,-8.3,-11,-4.9,,,,,10.2,5.5,3.3,2869,37.3,9.7,2.35,14.82,,0.7,,
2020.2.6,-6.4,-11.8,0.4,,,,,7,4,1.9,1615,36.4,9.7,2.23,13.97,,,,
2020.2.7,-1.7,-7.2,2.2,0.58,,,0,6.9,3.5,2,1693,45.1,6.1,1.98,10.14,,,,
2020.2.8,-0.1,-2.3,3.7,0.17,,,0,8.9,5.3,3,2608,48.1,9.6,2.24,13.89,,,,
2020.2.9,-0.5,-5.6,4.1,0.08,,,0,8,4.4,2,1726,51.1,9.6,2.34,14.33,,,,
2020.2.10,4,-0.7,9.6,0.92,,,0,7.8,4.2,1.7,1475,49.4,9.7,2.24,14.22,,,,
2020.2.11,6.8,-0.5,14.6,,,,,5.7,3.6,1.6,1410,37,7.6,2.24,10.91,,,,
2020.2.12,7.4,6.5,8.2,20.58,,,6.7,7.9,5,2.2,1906,73.4,0,0.56,2.86,,,,
2020.2.13,6.5,4.9,8.7,,,,,5.3,3.2,1.7,1461,84.8,1.3,0.91,6.43,,,,0.78
2020.2.14,8.1,3.2,14.7,,,,,4.9,3,1.2,998,70.3,8.7,2.14,13.13,,,,
2020.2.15,9.8,6.2,15.6,4.25,,,2,9,5,2.7,2350,63,5,2.05,8.77,,,,
2020.2.16,-1.4,-4.3,7.7,17,,,13.4,11.5,6.6,4,3423,81.1,1.6,0.92,4.14,3.9,3.9,4,
2020.2.17,-5.9,-7.1,-3.9,14.75,,,1,9.4,5.6,3.4,2963,64.3,3.2,1.31,7.08,3.8,5.5,3.8,
2020.2.18,-4.1,-8.3,1.3,,,,,6.6,4.1,2.3,1968,44,10.1,2.56,16.78,,2,,
2020.2.19,1,-4.4,6.4,,,,,5.4,3.2,1.5,1293,56.8,7.4,1.84,12.13,,,,
2020.2.20,4.6,-0.6,10.8,,,,,6,3.3,1.7,1465,62.6,9.4,2.15,13.71,,,,
